Feature,Industry Code,Average SHAP Value
twoind_3,3,9.551750536824546e-06
twoind_9,9,9.533265262492266e-06
twoind_19,19,8.31566541819673e-06
twoind_30,30,8.231842914735203e-06
twoind_16,16,7.655794934102414e-06
twoind_21,21,6.421172699307912e-06
twoind_14,14,6.178529336782629e-06
twoind_18,18,5.822901796441356e-06
twoind_5,5,3.8754933544671055e-06
twoind_33,33,3.503425666973812e-06
twoind_10,10,3.2442586232609894e-06
twoind_4,4,2.7327580794598953e-06
twoind_29,29,2.5905155645306845e-06
twoind_999,999,2.2672881914418597e-06
twoind_15,15,1.8774457603430077e-06
twoind_7,7,1.8590149449870175e-06
twoind_11,11,1.6671643125838313e-06
twoind_12,12,1.4316956095274585e-06
twoind_22,22,1.239603692103208e-06
twoind_1,1,1.1742532604558784e-06
twoind_25,25,1.131352229165624e-06
twoind_27,27,1.1065979325607937e-06
twoind_6,6,1.0240596156897953e-06
twoind_20,20,9.381059982339776e-07
twoind_23,23,9.294953702277884e-07
twoind_8,8,8.370186068877927e-07
twoind_24,24,7.009141876783753e-07
twoind_31,31,5.032888943515523e-07
twoind_28,28,3.680473933405748e-07
twoind_13,13,1.845273313387139e-08
