Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,0.0033649930029762
twoind_30.0,30.0,0.0008579748395539
twoind_33.0,33.0,0.0007676473360514
twoind_9.0,9.0,0.0004960613139779
twoind_18.0,18.0,0.0004393757870351
twoind_27.0,27.0,0.000419316066425
twoind_1.0,1.0,0.0004049661679422
twoind_10.0,10.0,0.0003091351863338
twoind_28.0,28.0,0.0002692989441037
twoind_5.0,5.0,0.0002387034459477
twoind_20.0,20.0,0.0002275224898338
twoind_3.0,3.0,0.0002065275670671
twoind_23.0,23.0,0.0001848705451638
twoind_21.0,21.0,0.0001722598106306
twoind_8.0,8.0,0.0001721936635448
twoind_11.0,11.0,0.0001627208802266
twoind_22.0,22.0,0.0001575999036196
twoind_16.0,16.0,0.000148442630953
twoind_12.0,12.0,0.0001365096561475
twoind_14.0,14.0,0.0001289504319741
twoind_29.0,29.0,0.0001228582642029
twoind_6.0,6.0,0.0001228407081114
twoind_15.0,15.0,0.0001173742467794
twoind_13.0,13.0,0.0001145518101975
twoind_25.0,25.0,5.646102980022051e-05
twoind_24.0,24.0,5.0898309664933845e-05
twoind_34.0,34.0,3.638674387758204e-05
twoind_4.0,4.0,3.514943032997795e-05
twoind_31.0,31.0,2.484773518406185e-05
twoind_19.0,19.0,2.4396429758984586e-05
twoind_7.0,7.0,1.779601488701467e-05
twoind_2.0,2.0,1.1371153040656023e-05
twoind_32.0,32.0,0.0
