Feature,Industry Code,Average SHAP Value
twoind_30.0,30.0,2.011636368343475e-05
twoind_18.0,18.0,1.7480343378992743e-05
twoind_33.0,33.0,1.2611276973481568e-05
twoind_16.0,16.0,5.489083291905331e-06
twoind_29.0,29.0,4.269202288793679e-06
twoind_28.0,28.0,4.197599655857849e-06
twoind_13.0,13.0,3.637311335511675e-06
twoind_20.0,20.0,2.2876323810755375e-06
twoind_11.0,11.0,2.2322951776242167e-06
twoind_15.0,15.0,2.2207893323362003e-06
twoind_3.0,3.0,2.1070653586045588e-06
twoind_24.0,24.0,1.9832189640925965e-06
twoind_1.0,1.0,1.7481181336495748e-06
twoind_12.0,12.0,1.6590042972620008e-06
twoind_5.0,5.0,1.397027629080163e-06
twoind_22.0,22.0,1.235006996166322e-06
twoind_27.0,27.0,9.559447360360574e-07
twoind_8.0,8.0,8.746362708392508e-07
twoind_9.0,9.0,8.36431581889224e-07
twoind_7.0,7.0,8.016115198631532e-07
twoind_34.0,34.0,7.238524773009473e-07
twoind_10.0,10.0,6.298310782111416e-07
twoind_14.0,14.0,5.914039729281155e-07
twoind_31.0,31.0,4.166107546916347e-07
twoind_6.0,6.0,3.297574310202501e-07
twoind_19.0,19.0,3.219885634219113e-07
twoind_4.0,4.0,2.149705289253806e-07
twoind_21.0,21.0,6.012812393769696e-08
twoind_32.0,32.0,4.622127768163016e-08
twoind_25.0,25.0,3.6406993466091715e-08
twoind_23.0,23.0,3.4726364097726155e-08
twoind_2.0,2.0,1.998659818323463e-08
