Feature,Industry Code,Average SHAP Value
twoind_0.0,0.0,8.592118783105538e-05
twoind_30.0,30.0,3.598012356014396e-05
twoind_1.0,1.0,2.2749019344619953e-05
twoind_11.0,11.0,1.253035274806564e-05
twoind_33.0,33.0,1.1519217818694807e-05
twoind_18.0,18.0,1.1494162433990683e-05
twoind_15.0,15.0,9.914376081593204e-06
twoind_29.0,29.0,8.488206405458725e-06
twoind_16.0,16.0,8.310203389027664e-06
twoind_14.0,14.0,5.3886308128213695e-06
twoind_12.0,12.0,4.380723982425746e-06
twoind_3.0,3.0,4.1671917003674984e-06
twoind_9.0,9.0,3.7396005134931818e-06
twoind_25.0,25.0,3.4554035686638314e-06
twoind_13.0,13.0,3.4207422920070327e-06
twoind_22.0,22.0,2.7218099560476376e-06
twoind_10.0,10.0,2.706644304901208e-06
twoind_27.0,27.0,2.6475913618757107e-06
twoind_4.0,4.0,2.008549100428354e-06
twoind_5.0,5.0,1.9335381837434932e-06
twoind_28.0,28.0,1.9108566105200483e-06
twoind_31.0,31.0,1.871799141388954e-06
twoind_20.0,20.0,1.8632671306799491e-06
twoind_21.0,21.0,1.804910153381957e-06
twoind_23.0,23.0,1.1341755869341025e-06
twoind_24.0,24.0,9.962825526828453e-07
twoind_19.0,19.0,9.10207552856135e-07
twoind_8.0,8.0,8.554546620727187e-07
twoind_6.0,6.0,8.38063929859862e-07
twoind_7.0,7.0,4.260796589057586e-07
twoind_34.0,34.0,1.2467694414434456e-07
twoind_2.0,2.0,4.2374257231131196e-08
twoind_32.0,32.0,0.0
