Feature,Occupation Code,Average SHAP Value
occ_21,21,1.375352850776843e-05
occ_60,60,6.823246815292726e-06
occ_84,84,6.685705153557402e-06
occ_61,61,5.982161743711258e-06
occ_1,1,5.638042969318718e-06
occ_45,45,5.161890138580894e-06
occ_70,70,4.343453174175384e-06
occ_98,98,3.836174264576926e-06
occ_37,37,3.7377487876584502e-06
occ_97,97,3.245715309948789e-06
occ_2,2,2.4658802652710063e-06
occ_99,99,2.3005329787466483e-06
occ_13,13,2.2101923320440336e-06
occ_9,9,2.1651869293623856e-06
occ_11,11,2.0009643295906844e-06
occ_83,83,1.802312609759096e-06
occ_4,4,1.8020850966798528e-06
occ_101,101,1.4103125409056818e-06
occ_95,95,1.3479676071423375e-06
occ_79,79,1.3439144048517523e-06
occ_85,85,1.276540364988826e-06
occ_6,6,1.0882809485316722e-06
occ_999,999,8.183789341148686e-07
occ_8,8,7.947131606697626e-07
occ_93,93,7.177671591353233e-07
occ_55,55,7.123539118956488e-07
occ_20,20,7.077732021671384e-07
occ_53,53,6.810161830664241e-07
occ_17,17,6.302251448686011e-07
occ_19,19,6.128717085315609e-07
occ_5,5,6.093353903373662e-07
occ_40,40,5.162953026787057e-07
occ_58,58,4.917808023668308e-07
occ_34,34,4.829635634428675e-07
occ_59,59,4.6808683669029746e-07
occ_7,7,4.436346110268424e-07
occ_77,77,4.3119387977848355e-07
occ_87,87,3.778689810823288e-07
occ_50,50,3.593392250115505e-07
occ_14,14,3.0858558568699757e-07
occ_54,54,3.0014103484696845e-07
occ_96,96,2.597637737381347e-07
occ_38,38,2.3637490905229066e-07
occ_3,3,2.3546806788493357e-07
occ_15,15,2.343845939742194e-07
occ_32,32,1.910816486697855e-07
occ_18,18,1.7147016858116438e-07
occ_42,42,1.5629467116491142e-07
occ_73,73,1.438269098612584e-07
occ_31,31,1.350354111555862e-07
occ_62,62,1.3408829620558121e-07
occ_44,44,1.1903513541569249e-07
occ_33,33,1.171635386325773e-07
occ_63,63,1.148318431334482e-07
occ_49,49,1.0653710854067021e-07
occ_86,86,1.0545438671411547e-07
occ_36,36,1.0399356857411045e-07
occ_43,43,1.0329788362816625e-07
occ_39,39,8.980226101335835e-08
occ_74,74,7.710336211687657e-08
occ_72,72,7.03180383841636e-08
occ_64,64,6.969046882498333e-08
occ_56,56,6.174599331791034e-08
occ_92,92,5.9588430215163245e-08
occ_80,80,5.7014713010039527e-08
occ_88,88,5.5393824296069166e-08
occ_12,12,5.4800192967274154e-08
occ_75,75,4.929256886266647e-08
occ_81,81,3.9204144508437976e-08
occ_30,30,3.348825808117274e-08
occ_35,35,1.9927335261808e-08
occ_57,57,1.829126709572444e-08
occ_89,89,1.7694359663508686e-08
occ_71,71,1.6492635679881186e-08
occ_16,16,1.2196627561867778e-08
occ_94,94,1.1842693193252018e-08
occ_82,82,0.0
occ_52,52,0.0
