Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0009770434550015
occ_84.0,84.0,0.0005599863553671
occ_8.0,8.0,0.0004948638093711
occ_70.0,70.0,0.0003551344638565
occ_21.0,21.0,0.0003482289101646
occ_2.0,2.0,0.0003447563291589
occ_39.0,39.0,0.0002974710896866
occ_61.0,61.0,0.0002574355677947
occ_97.0,97.0,0.0002481036530864
occ_85.0,85.0,0.0002083875914162
occ_37.0,37.0,0.0001917545051445
occ_58.0,58.0,0.0001816248396123
occ_99.0,99.0,0.0001429626237985
occ_55.0,55.0,0.0001384821181743
occ_11.0,11.0,0.0001087707088137
occ_19.0,19.0,0.0001070377945305
occ_40.0,40.0,0.0001069861587714
occ_98.0,98.0,0.0001017754001556
occ_3.0,3.0,0.0001005368456978
occ_44.0,44.0,8.655625014605798e-05
occ_101.0,101.0,8.528092339684339e-05
occ_96.0,96.0,8.380038779089223e-05
occ_87.0,87.0,7.825370605575967e-05
occ_7.0,7.0,7.306918718346522e-05
occ_77.0,77.0,7.086683662415347e-05
occ_95.0,95.0,6.640059177133708e-05
occ_92.0,92.0,5.362306031471661e-05
occ_13.0,13.0,5.2309061162345333e-05
occ_33.0,33.0,5.2292164988316934e-05
occ_30.0,30.0,4.9543638689576544e-05
occ_53.0,53.0,4.921791019626623e-05
occ_12.0,12.0,3.75684647837188e-05
occ_83.0,83.0,3.1497299113843076e-05
occ_72.0,72.0,3.148990466276047e-05
occ_14.0,14.0,3.019840446560244e-05
occ_45.0,45.0,2.835298164717874e-05
occ_4.0,4.0,2.8315537858222227e-05
occ_34.0,34.0,2.796617540371205e-05
occ_31.0,31.0,2.1987428853088727e-05
occ_73.0,73.0,2.04632253598954e-05
occ_74.0,74.0,1.878661353799643e-05
occ_32.0,32.0,1.6477235176999655e-05
occ_17.0,17.0,1.5003220074011855e-05
occ_60.0,60.0,1.3597753259685975e-05
occ_79.0,79.0,1.1880939575644243e-05
occ_20.0,20.0,1.135776444223984e-05
occ_57.0,57.0,9.740845340037997e-06
occ_50.0,50.0,9.010376176863372e-06
occ_75.0,75.0,8.912272729844387e-06
occ_86.0,86.0,7.315144325806089e-06
occ_63.0,63.0,7.032763413020543e-06
occ_93.0,93.0,6.509305613682961e-06
occ_16.0,16.0,4.316643240346052e-06
occ_15.0,15.0,4.125543245326428e-06
occ_38.0,38.0,3.834013480693102e-06
occ_89.0,89.0,3.2976248547700903e-06
occ_6.0,6.0,2.675054108655397e-06
occ_9.0,9.0,2.587182623633322e-06
occ_81.0,81.0,2.19670468035786e-06
occ_64.0,64.0,1.8725480932210173e-06
occ_71.0,71.0,1.8506490150799215e-06
occ_56.0,56.0,1.8433932875715464e-06
occ_59.0,59.0,1.6975406102220795e-06
occ_5.0,5.0,1.6755727958807264e-06
occ_18.0,18.0,1.323869070969522e-06
occ_54.0,54.0,1.1069577686006872e-06
occ_88.0,88.0,1.0070748176159603e-06
occ_1.0,1.0,7.442950527064178e-07
occ_80.0,80.0,7.165113745556612e-07
occ_42.0,42.0,6.487336922436951e-07
occ_49.0,49.0,5.434988106467895e-07
occ_43.0,43.0,3.777742175651449e-07
occ_82.0,82.0,1.8270776720185367e-07
occ_62.0,62.0,1.352359978887502e-07
occ_35.0,35.0,0.0
occ_36.0,36.0,0.0
occ_94.0,94.0,0.0
occ_52.0,52.0,0.0
