Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,0.0017465460021757
occ_21.0,21.0,0.0003849034547705
occ_8.0,8.0,0.0003110321826365
occ_2.0,2.0,0.0002881960814255
occ_84.0,84.0,0.0002817218262597
occ_70.0,70.0,0.0002719479269811
occ_61.0,61.0,0.0002499704666627
occ_39.0,39.0,0.0001525486970777
occ_3.0,3.0,0.0001388134068237
occ_98.0,98.0,0.0001380181540552
occ_58.0,58.0,0.0001361372669366
occ_19.0,19.0,0.0001291866726293
occ_40.0,40.0,0.0001250964701725
occ_11.0,11.0,0.0001232278154489
occ_13.0,13.0,0.000119592030719
occ_45.0,45.0,0.0001043070743351
occ_85.0,85.0,0.0001014490139295
occ_37.0,37.0,8.919085772505148e-05
occ_12.0,12.0,7.94551466577022e-05
occ_77.0,77.0,7.814358444046221e-05
occ_101.0,101.0,6.700097584980538e-05
occ_83.0,83.0,5.82587105384362e-05
occ_30.0,30.0,5.665452400691409e-05
occ_31.0,31.0,4.767034948796815e-05
occ_97.0,97.0,4.622983918595972e-05
occ_44.0,44.0,4.40865176739172e-05
occ_4.0,4.0,4.1626464144293445e-05
occ_95.0,95.0,3.744536957017353e-05
occ_34.0,34.0,3.7184190806666686e-05
occ_55.0,55.0,3.618198185229474e-05
occ_74.0,74.0,3.424507984379302e-05
occ_99.0,99.0,3.220448949629906e-05
occ_92.0,92.0,2.751768978209504e-05
occ_73.0,73.0,2.6717941079288622e-05
occ_6.0,6.0,1.8262451830596692e-05
occ_15.0,15.0,1.714454128742206e-05
occ_33.0,33.0,1.6965638113872073e-05
occ_87.0,87.0,1.6657165376172127e-05
occ_17.0,17.0,1.6461710173004703e-05
occ_96.0,96.0,1.6350095266694033e-05
occ_93.0,93.0,1.6206266653935376e-05
occ_53.0,53.0,1.6167637376446153e-05
occ_75.0,75.0,1.583653327629767e-05
occ_5.0,5.0,1.5701169496086164e-05
occ_20.0,20.0,1.5062784960127548e-05
occ_79.0,79.0,1.4599121074903093e-05
occ_14.0,14.0,1.4345958469635147e-05
occ_9.0,9.0,1.4083016353991971e-05
occ_7.0,7.0,1.3349283983733997e-05
occ_64.0,64.0,1.215968272662057e-05
occ_16.0,16.0,1.210925274236021e-05
occ_32.0,32.0,1.17597000317515e-05
occ_42.0,42.0,1.1557205937836043e-05
occ_54.0,54.0,1.1341264416031336e-05
occ_57.0,57.0,9.5502936937181e-06
occ_50.0,50.0,3.6725681195273113e-06
occ_1.0,1.0,3.615052174477439e-06
occ_56.0,56.0,3.5383484102866797e-06
occ_43.0,43.0,3.480271598058087e-06
occ_89.0,89.0,3.460940491607679e-06
occ_38.0,38.0,3.3348218619357794e-06
occ_71.0,71.0,2.590792210306972e-06
occ_35.0,35.0,2.1856027400187623e-06
occ_49.0,49.0,2.1445523137559315e-06
occ_72.0,72.0,1.9463585513713996e-06
occ_59.0,59.0,1.7240733719008858e-06
occ_36.0,36.0,1.4660908258520066e-06
occ_60.0,60.0,1.2672101379227718e-06
occ_86.0,86.0,1.2161673083901403e-06
occ_80.0,80.0,8.999516489649458e-07
occ_63.0,63.0,6.713812078482338e-07
occ_81.0,81.0,3.601337143461804e-07
occ_18.0,18.0,2.498142790115838e-07
occ_88.0,88.0,1.878508285985195e-07
occ_62.0,62.0,1.3078332871509704e-07
occ_94.0,94.0,1.3033926348102145e-07
occ_52.0,52.0,0.0
occ_82.0,82.0,0.0
