Feature,Occupation Code,Average SHAP Value
occ_99.0,99.0,7.392981017384285e-05
occ_98.0,98.0,6.709731618038913e-05
occ_97.0,97.0,5.373881249216264e-05
occ_58.0,58.0,3.835717344756362e-05
occ_2.0,2.0,3.5437662728862585e-05
occ_55.0,55.0,3.462800595952594e-05
occ_6.0,6.0,3.3595610432326776e-05
occ_83.0,83.0,3.1693559109831956e-05
occ_13.0,13.0,2.709838838406301e-05
occ_70.0,70.0,2.459146426847604e-05
occ_3.0,3.0,2.0483029189552895e-05
occ_20.0,20.0,1.6334891947651578e-05
occ_45.0,45.0,1.610553080979397e-05
occ_85.0,85.0,1.582503558853306e-05
occ_37.0,37.0,1.5179183225147407e-05
occ_39.0,39.0,1.421667154080104e-05
occ_19.0,19.0,1.412169583135156e-05
occ_79.0,79.0,1.376855066558348e-05
occ_0.0,0.0,1.370532805003833e-05
occ_101.0,101.0,1.3606849936918056e-05
occ_50.0,50.0,1.297510233468244e-05
occ_21.0,21.0,1.193859589353502e-05
occ_12.0,12.0,1.1702701993852078e-05
occ_87.0,87.0,1.1593490463432048e-05
occ_44.0,44.0,1.1315796580415114e-05
occ_84.0,84.0,1.0402585120223074e-05
occ_7.0,7.0,9.308764726089868e-06
occ_8.0,8.0,8.599961342880401e-06
occ_57.0,57.0,8.232511672191332e-06
occ_95.0,95.0,7.966986097445286e-06
occ_40.0,40.0,7.717342762193385e-06
occ_60.0,60.0,7.174141600594972e-06
occ_77.0,77.0,6.007090681548508e-06
occ_15.0,15.0,5.975388174244594e-06
occ_16.0,16.0,4.449696409116894e-06
occ_54.0,54.0,4.069083943963052e-06
occ_53.0,53.0,4.048038466925e-06
occ_5.0,5.0,3.86224305194004e-06
occ_61.0,61.0,3.72569304110948e-06
occ_59.0,59.0,3.4929576291303548e-06
occ_1.0,1.0,3.324987053039625e-06
occ_38.0,38.0,3.242231363397358e-06
occ_96.0,96.0,3.113116444387875e-06
occ_81.0,81.0,3.071967087486498e-06
occ_33.0,33.0,2.583622930538176e-06
occ_18.0,18.0,2.4106562057776113e-06
occ_93.0,93.0,2.3970602605009532e-06
occ_31.0,31.0,2.359499090800192e-06
occ_73.0,73.0,1.754241843657964e-06
occ_14.0,14.0,1.6125815607374538e-06
occ_30.0,30.0,1.5578660706024891e-06
occ_34.0,34.0,1.5465937884457975e-06
occ_74.0,74.0,1.3635652923840118e-06
occ_72.0,72.0,1.2991007721201252e-06
occ_32.0,32.0,9.998130903778864e-07
occ_43.0,43.0,7.876161248589445e-07
occ_4.0,4.0,6.407804815680719e-07
occ_75.0,75.0,6.244965114830327e-07
occ_11.0,11.0,6.032156442327387e-07
occ_56.0,56.0,5.322076405198979e-07
occ_42.0,42.0,4.499103221293928e-07
occ_62.0,62.0,4.066810288266944e-07
occ_9.0,9.0,3.334220939972767e-07
occ_71.0,71.0,3.168263891836563e-07
occ_49.0,49.0,2.805091127936196e-07
occ_86.0,86.0,2.6493476321255524e-07
occ_35.0,35.0,2.278811358846724e-07
occ_63.0,63.0,2.0085435543608453e-07
occ_80.0,80.0,1.665759351703205e-07
occ_88.0,88.0,1.023091747192666e-07
occ_89.0,89.0,1.0066958586685362e-07
occ_17.0,17.0,8.091396724505884e-08
occ_64.0,64.0,7.72813460290698e-08
occ_92.0,92.0,7.650125959805443e-08
occ_52.0,52.0,7.002527937791974e-10
occ_82.0,82.0,0.0
occ_94.0,94.0,0.0
occ_36.0,36.0,0.0
