Feature,Occupation Code,Average SHAP Value
occ_0.0,0.0,9.451003130468816e-05
occ_21.0,21.0,3.497981279603633e-05
occ_61.0,61.0,1.7761187512543953e-05
occ_84.0,84.0,1.7609711161394673e-05
occ_98.0,98.0,1.05975109053626e-05
occ_99.0,99.0,9.683435497842909e-06
occ_93.0,93.0,4.645012428260611e-06
occ_85.0,85.0,4.312151461615159e-06
occ_44.0,44.0,3.933193499987411e-06
occ_97.0,97.0,3.598816058621323e-06
occ_95.0,95.0,3.242886483139169e-06
occ_55.0,55.0,3.2059060173508353e-06
occ_45.0,45.0,3.129888130631512e-06
occ_2.0,2.0,2.724320558993246e-06
occ_87.0,87.0,2.392582508496287e-06
occ_6.0,6.0,2.2958283586859885e-06
occ_39.0,39.0,2.2114452528746453e-06
occ_7.0,7.0,2.153367402256531e-06
occ_53.0,53.0,2.1521618484070396e-06
occ_13.0,13.0,2.0009265477295114e-06
occ_92.0,92.0,1.838529210762188e-06
occ_50.0,50.0,1.624941464812894e-06
occ_33.0,33.0,1.583790264666148e-06
occ_70.0,70.0,1.5172724251699797e-06
occ_40.0,40.0,1.4778392757289084e-06
occ_3.0,3.0,1.416629496022191e-06
occ_58.0,58.0,1.3839049721926678e-06
occ_83.0,83.0,1.3391720052625563e-06
occ_1.0,1.0,1.1958416635503176e-06
occ_16.0,16.0,1.145781427987718e-06
occ_8.0,8.0,9.383055319426588e-07
occ_20.0,20.0,8.645805205617626e-07
occ_9.0,9.0,8.491379744789049e-07
occ_15.0,15.0,7.711504192266143e-07
occ_59.0,59.0,7.34296150341315e-07
occ_5.0,5.0,7.192199559400015e-07
occ_54.0,54.0,6.29187092012475e-07
occ_31.0,31.0,6.149194383885638e-07
occ_11.0,11.0,5.553283414636605e-07
occ_79.0,79.0,5.550082087741308e-07
occ_101.0,101.0,5.220944163928429e-07
occ_77.0,77.0,4.995873488722803e-07
occ_17.0,17.0,4.807366563805511e-07
occ_75.0,75.0,4.7397589820736516e-07
occ_19.0,19.0,4.609200030941548e-07
occ_12.0,12.0,4.597086160065385e-07
occ_74.0,74.0,4.5752574958273043e-07
occ_30.0,30.0,4.495802459257122e-07
occ_73.0,73.0,4.315918375858532e-07
occ_37.0,37.0,3.821341489582279e-07
occ_42.0,42.0,3.635934986689653e-07
occ_4.0,4.0,3.561165596329377e-07
occ_14.0,14.0,3.460601585850651e-07
occ_32.0,32.0,3.0249903269993604e-07
occ_34.0,34.0,2.659021925667596e-07
occ_96.0,96.0,2.4270199934107954e-07
occ_72.0,72.0,1.907159084065432e-07
occ_63.0,63.0,1.657337120767413e-07
occ_56.0,56.0,1.5311406565680438e-07
occ_81.0,81.0,1.307757333155937e-07
occ_60.0,60.0,1.0651707714610634e-07
occ_38.0,38.0,6.440194154440959e-08
occ_86.0,86.0,4.6394457042749444e-08
occ_57.0,57.0,3.893709128533374e-08
occ_71.0,71.0,3.749488209151817e-08
occ_62.0,62.0,3.32231061807501e-08
occ_49.0,49.0,1.5819544893539777e-08
occ_88.0,88.0,1.5675963085543898e-08
occ_89.0,89.0,1.4194918941939251e-08
occ_18.0,18.0,7.371817821746975e-09
occ_36.0,36.0,5.711241462060051e-09
occ_35.0,35.0,5.165844470736504e-09
occ_80.0,80.0,4.982315116389406e-09
occ_94.0,94.0,3.96523992874011e-10
occ_82.0,82.0,0.0
occ_43.0,43.0,0.0
occ_52.0,52.0,0.0
occ_64.0,64.0,0.0
