Feature,Average SHAP Value
occ_38,3.4598335495419015e-07
twoind_24,2.768250751330319e-07
state_9,7.647665254349727e-08
cohort_20,6.84335319011679e-08
fhwage0_P0,5.588647854105912e-08
year_1985,4.717603242681196e-08
race_1,4.466593902332044e-08
EDU2,3.683379466993863e-08
year_1987,3.530873444348882e-08
race_2,3.4076879762170343e-08
ma5aep,3.212552824922952e-08
rGDPgrow,2.9695141100802057e-08
tenure,2.921528131664673e-08
cohort_40,2.8196180200576387e-08
currentage,2.7407933832344653e-08
year_2007,2.6633231383025306e-08
cohort_30,2.5134261869161603e-08
cohort_10,1.955103318331093e-08
currentagesq,1.8831948179997667e-08
state_31,1.7702850146948594e-08
veteran,1.6493608756311668e-08
occ_61,1.4974405772137102e-08
currentagecube,1.2504415860078235e-08
state_24,1.1730158790870987e-08
EDU1,1.1725014122030252e-08
EDU3,1.087677459307528e-08
twoind_1,1.0012315223329104e-08
PrRecess,9.35765037990028e-09
occ_21,8.65926997102876e-09
year_1983,8.285425049352751e-09
year_1988,8.28368830873133e-09
twoind_16,7.81640983862821e-09
year_1984,7.61801245038471e-09
twoind_15,7.443814951147652e-09
occ_99,7.428455177129942e-09
twoind_33,7.160722146528339e-09
twoind_27,7.018316579710201e-09
state_39,6.8852812278557766e-09
occ_84,6.503697297677485e-09
year_1995,5.714280897762309e-09
race_5,5.679193029804999e-09
twoind_18,5.1140572251895145e-09
occ_53,4.400088210335021e-09
state_21,4.246681117984231e-09
state_23,4.2048267868140665e-09
twoind_30,4.031255760251841e-09
twoind_3,3.537643829715464e-09
year_1982,3.4431252459154934e-09
race_4,3.2686566198975136e-09
state_17,3.1670206226408485e-09
race_3,3.1490064697798143e-09
occ_97,3.1253858426241293e-09
year_1973,2.9664550992799895e-09
occ_999,2.9450528873091196e-09
occ_13,2.897519892931506e-09
occ_58,2.8953830517579715e-09
year_2003,2.8843764365252423e-09
state_16,2.853263932796986e-09
year_2005,2.785485488034155e-09
year_1992,2.76308443399011e-09
occ_70,2.762517913740803e-09
year_1989,2.677635086510798e-09
state_19,2.6647718566522658e-09
state_10,2.6329374021026797e-09
twoind_9,2.6004536560562376e-09
state_34,2.54433053579215e-09
twoind_11,2.5373381207424163e-09
state_32,2.450725105879843e-09
state_42,2.4460910457762864e-09
occ_45,2.386429084037496e-09
state_13,2.374087347933814e-09
year_1981,2.3022812576969433e-09
twoind_999,2.244393908575169e-09
state_14,2.1469304705789846e-09
year_1997,2.0091136539661907e-09
occ_34,1.9966754911809953e-09
year_2001,1.9627053676312273e-09
occ_33,1.9162144276516334e-09
year_1978,1.785189345383757e-09
twoind_14,1.750042475463855e-09
occ_98,1.7085020091319502e-09
occ_2,1.686945849156997e-09
state_3,1.6680631389773327e-09
state_12,1.601624792966366e-09
state_4,1.596190497056084e-09
occ_37,1.5489099903607659e-09
occ_39,1.4640972332631113e-09
twoind_7,1.4364202563636654e-09
twoind_19,1.4004052508569106e-09
occ_11,1.3807128927812068e-09
year_1980,1.2957650581280992e-09
occ_1,1.2918453721332532e-09
state_45,1.26446732160954e-09
state_37,1.2520331211751361e-09
twoind_28,1.2435210566357208e-09
state_29,1.2319387153514564e-09
occ_87,1.1447895777021362e-09
twoind_5,1.1315600205361882e-09
twoind_21,1.0443048783152048e-09
occ_95,1.0236703473497153e-09
year_1979,9.360032478889336e-10
twoind_4,9.209117627587657e-10
state_5,8.839882713326495e-10
state_27,8.758260118545571e-10
state_6,8.590148096074012e-10
occ_40,8.526412866640468e-10
state_41,8.189686021022795e-10
twoind_22,7.596301486410663e-10
state_15,7.348323895319088e-10
twoind_6,6.1716489352199e-10
occ_85,5.55358151448708e-10
year_1993,5.516535361289038e-10
occ_12,3.521035544556493e-10
occ_9,3.352013545403989e-10
year_1975,3.1938114003379493e-10
year_1976,3.16363690134358e-10
twoind_10,2.847176682348124e-10
occ_60,1.9597466787047957e-10
twoind_20,1.947305523792887e-10
year_1991,1.024413806009716e-10
occ_17,0.0
state_46,0.0
occ_18,0.0
state_44,0.0
state_43,0.0
twoind_29,0.0
state_40,0.0
twoind_25,0.0
twoind_31,0.0
state_38,0.0
occ_16,0.0
occ_15,0.0
state_36,0.0
OLF,0.0
state_35,0.0
occ_14,0.0
state_47,0.0
occ_19,0.0
state_48,0.0
occ_36,0.0
twoind_8,0.0
state_33,0.0
occ_32,0.0
twoind_12,0.0
twoind_13,0.0
occ_35,0.0
occ_31,0.0
state_49,0.0
occ_30,0.0
occ_20,0.0
race_7,0.0
twoind_23,0.0
state_51,0.0
state_50,0.0
occ_42,0.0
occ_83,0.0
occ_43,0.0
year_1974,0.0
year_1990,0.0
occ_71,0.0
occ_72,0.0
occ_6,0.0
year_1986,0.0
occ_7,0.0
occ_8,0.0
occ_73,0.0
occ_74,0.0
occ_75,0.0
year_1977,0.0
occ_77,0.0
occ_63,0.0
occ_79,0.0
occ_101,0.0
occ_80,0.0
occ_81,0.0
occ_96,0.0
occ_94,0.0
occ_93,0.0
occ_92,0.0
occ_89,0.0
occ_88,0.0
occ_86,0.0
occ_64,0.0
occ_62,0.0
state_30,0.0
occ_54,0.0
state_28,0.0
state_26,0.0
state_25,0.0
occ_3,0.0
occ_44,0.0
occ_82,0.0
occ_49,0.0
state_20,0.0
occ_50,0.0
state_18,0.0
occ_52,0.0
occ_55,0.0
year_1999,0.0
occ_56,0.0
state_11,0.0
occ_57,0.0
occ_4,0.0
state_8,0.0
state_7,0.0
state_2,0.0
state_1,0.0
state_0,0.0
occ_5,0.0
occ_59,0.0
state_22,0.0
