Feature,Average SHAP Value
cohort_20.0,0.0002684083649141066
race_1.0,0.000235460640061518
twoind_9.0,0.00020576534627362875
cohort_30.0,0.00018220487480326332
veteran,0.00014363429561747276
cohort_10.0,0.0001425501433437295
twoind_1.0,0.00013923121797177276
twoind_33.0,0.00013723274501842842
occ_61.0,0.00013576419435673342
EDU2,0.00012453148248728753
twoind_11.0,0.00011620296207021995
EDU1,0.00011413377459524195
twoind_18.0,0.00010689988482341241
occ_99.0,0.00010390965901311574
state_34.0,0.00010044895507973779
occ_84.0,0.00010032242976133614
year_1989.0,9.559052391689354e-05
cohort_40.0,9.50425666587277e-05
rGDPgrow,9.378535980626639e-05
occ_8.0,9.212269871142285e-05
state_37.0,8.698422323967633e-05
twoind_16.0,7.797016156395617e-05
OLF,7.688183043373553e-05
tenure,7.66208375410523e-05
twoind_8.0,7.520162410306238e-05
year_1986.0,7.415856157169335e-05
fhwage,7.23095128444479e-05
EDU3,7.038465728110026e-05
twoind_28.0,6.831348206031996e-05
year_2001.0,6.766418282296287e-05
race_5.0,6.668202366681509e-05
year_1992.0,6.618354334539087e-05
twoind_27.0,6.412223100114847e-05
twoind_20.0,5.9270733713242947e-05
year_2017.0,5.664096682780193e-05
state_29.0,5.340671110831606e-05
occ_37.0,5.155879886304757e-05
currentage,4.869913774600898e-05
year_2015.0,4.8580016355242395e-05
twoind_21.0,4.823440101375462e-05
year_1981.0,4.815253137330162e-05
occ_83.0,4.628233311853081e-05
twoind_22.0,4.554167369695665e-05
occ_97.0,4.5168914253430346e-05
currentagesq,4.471354106000944e-05
state_16.0,4.3908111172500907e-05
year_1991.0,4.3852435960983195e-05
ma5aep,4.262807532257862e-05
occ_2.0,4.255915945040019e-05
year_1985.0,4.0714380374587964e-05
PrRecess,3.8625837785961235e-05
state_10.0,3.8390886342132105e-05
twoind_14.0,3.8161285413682423e-05
year_1979.0,3.718735940232478e-05
year_1980.0,3.7017713256539986e-05
state_13.0,3.646018412035343e-05
occ_70.0,3.602942372148761e-05
occ_40.0,3.5549272143155526e-05
twoind_10.0,3.511240149267598e-05
occ_39.0,3.4706030291300036e-05
state_31.0,3.426738023172195e-05
occ_45.0,3.3835899618219766e-05
currentagecube,3.362509482701687e-05
state_43.0,3.1880626366578626e-05
state_24.0,3.173943431590657e-05
year_1987.0,3.160045559039413e-05
state_20.0,3.150862628032427e-05
year_1977.0,3.055472896185775e-05
occ_21.0,3.0328517565873224e-05
occ_98.0,2.8722124149238365e-05
occ_3.0,2.690465813780704e-05
state_9.0,2.6697916810727575e-05
year_1974.0,2.646939555685025e-05
occ_13.0,2.5127942202923495e-05
twoind_3.0,2.4600331716241496e-05
year_2013.0,2.420833622786758e-05
year_2011.0,2.3035158603691577e-05
year_1973.0,2.2778293163709726e-05
year_1972.0,2.0891558300455207e-05
state_41.0,2.0728888087790734e-05
occ_85.0,2.0541998445507586e-05
state_40.0,2.0032597516661743e-05
year_2007.0,1.992267466472455e-05
year_1995.0,1.9291726445782925e-05
year_1978.0,1.8760586379302593e-05
state_4.0,1.8644515177580432e-05
year_1997.0,1.863746211522905e-05
occ_44.0,1.8344342300937956e-05
twoind_12.0,1.8239359400328477e-05
occ_11.0,1.8212531483306995e-05
occ_55.0,1.6254624678820143e-05
year_1990.0,1.6161906550094145e-05
twoind_13.0,1.6011618359678765e-05
occ_19.0,1.5835032939537925e-05
occ_77.0,1.5251547012864946e-05
twoind_23.0,1.5019150322023936e-05
occ_58.0,1.493818482250256e-05
year_1988.0,1.4239737926071645e-05
state_27.0,1.4034881800948263e-05
state_6.0,1.370356794291828e-05
state_45.0,1.3610481901517765e-05
race_3.0,1.2784943503308434e-05
year_1975.0,1.2778521645904295e-05
twoind_6.0,1.2742288498657367e-05
state_0.0,1.2544282885636247e-05
state_46.0,1.2304892862119019e-05
year_1983.0,1.194458290707161e-05
year_1976.0,1.14469886960003e-05
occ_5.0,1.1345266368306893e-05
year_1994.0,1.0837320445226087e-05
state_42.0,1.0426401019120664e-05
year_1993.0,1.0324967612570426e-05
twoind_5.0,1.0205578684865687e-05
state_3.0,9.983040725443753e-06
twoind_31.0,9.832268736034866e-06
occ_92.0,8.335225374924163e-06
twoind_30.0,8.267012285160298e-06
state_32.0,8.196624651458189e-06
state_5.0,8.10372086364563e-06
occ_87.0,7.86532646597856e-06
year_2003.0,7.548042198605193e-06
race_4.0,6.821470013513751e-06
state_22.0,6.8021293433168e-06
year_1984.0,6.593174203510284e-06
state_48.0,6.515490327378355e-06
occ_7.0,6.483077876073022e-06
state_8.0,6.342282360718319e-06
occ_53.0,6.184170119164771e-06
occ_101.0,5.829170586720059e-06
occ_96.0,5.720104700915267e-06
state_39.0,5.6374750425024325e-06
occ_59.0,5.545566278617348e-06
twoind_29.0,5.532814171856695e-06
state_19.0,5.434426475632126e-06
year_1982.0,5.350194690290928e-06
year_2005.0,5.1081939612451365e-06
state_12.0,5.085599555996243e-06
occ_30.0,4.939631810346073e-06
twoind_19.0,4.908936237837947e-06
state_1.0,4.750814339229369e-06
state_36.0,4.69882599970993e-06
year_2019.0,4.569593187252594e-06
twoind_4.0,4.524255687816112e-06
state_14.0,4.440434680293278e-06
occ_14.0,4.353469309214059e-06
occ_93.0,4.343490417913548e-06
year_2009.0,4.274292609158717e-06
state_2.0,4.200168869556987e-06
year_1999.0,4.1881329450436e-06
occ_33.0,4.170874907104295e-06
twoind_7.0,4.012814086131302e-06
occ_31.0,3.7710345456504042e-06
twoind_25.0,3.579659823150361e-06
state_21.0,3.5237328895082384e-06
state_23.0,3.432401798023329e-06
occ_6.0,3.4218723538172824e-06
race_2.0,3.1274799220860233e-06
