Feature,Average SHAP Value
twoind_0.0,0.003364993002976282
occ_0.0,0.0026666559057136586
race_2.0,0.0015908435065271676
race_1.0,0.0012788594686046176
cohort_10.0,0.0012318234976826609
tenure,0.0008956492637080451
twoind_30.0,0.0008579748395539686
EDU2,0.000811790356378271
censdiv_5.0,0.0007885509846251895
twoind_33.0,0.0007676473360514672
EDU3,0.000726659425155344
OLF,0.0006799272928205989
cohort_20.0,0.0005947501437017943
year_1975.0,0.0005312326507207812
cohort_30.0,0.0005229699484666352
occ_61.0,0.0005044905560635312
twoind_9.0,0.0004960613139779299
EDU1,0.0004885445601425846
twoind_18.0,0.0004393757870351137
censdiv_2.0,0.00043685519956052245
year_1991.0,0.0004301112847746624
twoind_27.0,0.000419316066425028
twoind_1.0,0.00040496616794228897
year_1977.0,0.00040361092902806416
occ_84.0,0.0003942545984318213
race_5.0,0.0003933108127860875
year_1995.0,0.0003928454271766493
year_1974.0,0.0003827530212301237
year_1976.0,0.00037959764494367666
year_1979.0,0.0003704296402939863
occ_44.0,0.00036263564291283683
year_1973.0,0.0003529299458879305
year_1978.0,0.0003403810350403312
year_2015.0,0.0003326681582982255
year_1981.0,0.00032116786362729714
occ_70.0,0.00030943658602516997
twoind_10.0,0.00030913518633387464
occ_2.0,0.00030238711646964213
occ_58.0,0.00030021242748596715
censdiv_6.0,0.0002958654155014418
occ_8.0,0.0002905838865849327
year_2001.0,0.0002825484006750787
twoind_28.0,0.0002692989441037643
PrRecess,0.0002690979109155701
year_1994.0,0.00025599069328739174
year_1990.0,0.0002531927763001132
currentagecube,0.0002504204176544392
twoind_5.0,0.00023870344594779483
year_1972.0,0.00023276824869854085
twoind_20.0,0.00022752248983384538
occ_98.0,0.0002204485949038561
occ_40.0,0.00021903456006119323
twoind_3.0,0.0002065275670671834
year_2017.0,0.00020394353789204272
year_1982.0,0.00020180313335292562
year_2013.0,0.00019872307089413476
year_1992.0,0.00019412472262655926
twoind_23.0,0.00018487054516388337
censdiv_1.0,0.0001818993256960697
year_1993.0,0.00018114879704080505
year_1984.0,0.000180245106625171
twoind_21.0,0.00017225981063066456
twoind_8.0,0.0001721936635448535
year_2005.0,0.0001713854690155542
EDU4,0.0001706244033373739
occ_37.0,0.00016952895501063018
year_2007.0,0.00016652008183333736
twoind_11.0,0.00016272088022666433
twoind_22.0,0.00015759990361964842
year_2009.0,0.00015676968417303365
twoind_16.0,0.0001484426309530554
year_1999.0,0.00014443689511859395
year_1989.0,0.000136522776511814
twoind_12.0,0.0001365096561475657
