Feature,Average SHAP Value
race_1.0,2.1989775586406024e-05
cohort_10.0,2.021170108016489e-05
twoind_30.0,2.011636368343475e-05
occ_21.0,1.8389857485121584e-05
cohort_30.0,1.8147689779886967e-05
twoind_18.0,1.7480343378992743e-05
race_2.0,1.4708679487006055e-05
year_2005.0,1.317882505800726e-05
cohort_40.0,1.308627577301229e-05
state_12.0,1.2979363426311518e-05
twoind_33.0,1.2611276973481568e-05
EDU2,1.2378214171688909e-05
ma5aep,1.2142858116217383e-05
EDU3,1.1815962607248028e-05
occ_58.0,1.1661044263982183e-05
year_2007.0,1.1240398999186087e-05
cohort_20.0,1.1047880953906979e-05
state_21.0,1.0370855718064659e-05
currentagecube,1.019917694299845e-05
year_1983.0,9.803416604803478e-06
rGDPgrow,9.565649160606857e-06
year_1977.0,9.402141840489963e-06
state_42.0,8.505738557522657e-06
race_3.0,8.134899659423116e-06
year_1985.0,8.057455544936531e-06
occ_98.0,7.365255839815916e-06
year_1992.0,6.786059675976529e-06
state_17.0,6.66335126478776e-06
occ_45.0,6.424368921685927e-06
state_16.0,6.396306792943143e-06
state_35.0,6.177247260880847e-06
race_5.0,6.131133964417551e-06
year_1990.0,5.929511069203139e-06
twoind_16.0,5.489083291905331e-06
year_1973.0,5.2935496108757656e-06
fhwage,5.037735524627945e-06
occ_13.0,5.0082429712489784e-06
occ_55.0,4.872307285609391e-06
currentagesq,4.799883885279953e-06
occ_97.0,4.7836962403556975e-06
state_32.0,4.547725810050973e-06
occ_11.0,4.482138698335188e-06
state_2.0,4.346798864452296e-06
state_36.0,4.331927144913829e-06
year_1982.0,4.280226261358308e-06
twoind_29.0,4.269202288793679e-06
year_1988.0,4.212938542266186e-06
twoind_28.0,4.197599655857849e-06
year_2017.0,4.125492152038647e-06
year_1995.0,4.059875903569793e-06
state_4.0,4.029675938632982e-06
occ_44.0,3.867383890087427e-06
twoind_13.0,3.637311335511675e-06
year_1972.0,3.574421281724535e-06
occ_61.0,3.560411924867031e-06
year_2003.0,3.419506976011495e-06
year_2011.0,3.3980301947034015e-06
state_41.0,3.238875124970169e-06
state_46.0,3.1761745809494226e-06
veteran,3.078021675761925e-06
year_1979.0,3.02916035566627e-06
state_14.0,2.960046453878776e-06
state_9.0,2.826301589461017e-06
EDU1,2.8077438694576706e-06
occ_6.0,2.78511761948118e-06
state_31.0,2.7315326608844556e-06
occ_12.0,2.645290688225973e-06
state_37.0,2.401877688987624e-06
year_1989.0,2.2895085207467547e-06
