Feature,Average SHAP Value
agebin_2.0,0.00011873408449324825
occ_0.0,9.451003130468816e-05
twoind_0.0,8.592118783105538e-05
race_2.0,8.355848174422482e-05
cohort_40.0,8.070036557087262e-05
censdiv_5.0,7.32227249712949e-05
race_1.0,6.090170277422714e-05
EDU2,5.680965800956724e-05
EDU1,5.601649151706707e-05
agebin_3.0,4.842763950826245e-05
censdiv_4.0,4.805168263559299e-05
censdiv_7.0,4.478866785119418e-05
agebin_1.0,4.413410240288702e-05
cohort_30.0,4.396246771430858e-05
censdiv_3.0,4.3826060457861885e-05
cohort_20.0,4.339856297893428e-05
PrRecess,4.019961595481663e-05
EDU3,3.815309529646345e-05
twoind_30.0,3.598012356014396e-05
occ_21.0,3.497981279603633e-05
EDU4,2.8130691048630974e-05
censdiv_6.0,2.6487758536565363e-05
year_2007.0,2.4650871101683644e-05
cohort_10.0,2.2762617142028036e-05
twoind_1.0,2.2749019344619953e-05
censdiv_8.0,2.057270210612993e-05
censdiv_2.0,1.8101504126189546e-05
occ_61.0,1.7761187512543953e-05
occ_84.0,1.7609711161394673e-05
year_1999.0,1.5697823306262885e-05
agebin_5.0,1.563270691821731e-05
censdiv_9.0,1.5422527484222587e-05
twoind_11.0,1.253035274806564e-05
twoind_33.0,1.1519217818694807e-05
twoind_18.0,1.1494162433990683e-05
year_1978.0,1.0964540011415767e-05
year_2005.0,1.0792844175003573e-05
occ_98.0,1.0597510905362601e-05
year_1984.0,1.039156701757537e-05
year_1979.0,1.0197359970063964e-05
twoind_15.0,9.914376081593204e-06
occ_99.0,9.683435497842909e-06
twoind_29.0,8.488206405458725e-06
twoind_16.0,8.310203389027664e-06
year_1976.0,7.734885165488639e-06
year_2013.0,7.450036848876542e-06
year_1986.0,7.301560841213872e-06
year_2001.0,6.577448149016288e-06
year_1997.0,6.506925429150996e-06
agebin_6.0,6.351549246514739e-06
tenure,6.142042896460742e-06
race_5.0,6.1200220521610225e-06
year_1990.0,5.715757021855075e-06
year_1977.0,5.695628319835769e-06
year_1988.0,5.646156665365979e-06
twoind_14.0,5.3886308128213695e-06
year_1982.0,5.274723656155397e-06
year_1995.0,5.106667742548912e-06
occ_93.0,4.645012428260611e-06
twoind_12.0,4.380723982425746e-06
year_1991.0,4.352607025043529e-06
year_2011.0,4.331097500943414e-06
occ_85.0,4.312151461615159e-06
year_1972.0,4.279069464383477e-06
twoind_3.0,4.1671917003674984e-06
year_2015.0,4.1239668419646995e-06
censdiv_1.0,4.111543493532479e-06
occ_44.0,3.933193499987411e-06
year_1987.0,3.916459141112035e-06
year_2003.0,3.871003522984605e-06
year_1989.0,3.803864394929917e-06
twoind_9.0,3.7396005134931813e-06
occ_97.0,3.5988160586213234e-06
year_1980.0,3.5476814270701364e-06
twoind_25.0,3.4554035686638314e-06
twoind_13.0,3.4207422920070327e-06
year_1992.0,3.3918039255347307e-06
occ_95.0,3.242886483139169e-06
occ_55.0,3.2059060173508353e-06
occ_45.0,3.129888130631512e-06
race_3.0,3.0528511048656326e-06
occ_2.0,2.724320558993246e-06
twoind_22.0,2.7218099560476376e-06
twoind_10.0,2.706644304901208e-06
twoind_27.0,2.6475913618757107e-06
